Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cura_TestSuite_MakeAppointmentvalidation_002,Chrome 120.0.0.0,,,25-01-2024 23:14:13,25-01-2024 23:14:42,29.108s,PASSED
,,,,,,,
Test Cases/TC_CURA_Login_001,Chrome 120.0.0.0,,,25-01-2024 23:14:18,25-01-2024 23:14:22,3.794s,PASSED
"click(findTestObject(""Object Repository/Cura Pages/CuraPage_Login_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 120.0.0.0,,,25-01-2024 23:14:18,25-01-2024 23:14:19,0.863s,PASSED
"setText(findTestObject(""Object Repository/Cura Pages/CuraPage_Login_OR/input_username""), input_username)",Chrome 120.0.0.0,,,25-01-2024 23:14:19,25-01-2024 23:14:20,0.843s,PASSED
"setText(findTestObject(""Object Repository/Cura Pages/CuraPage_Login_OR/input_password""), input_password)",Chrome 120.0.0.0,,,25-01-2024 23:14:20,25-01-2024 23:14:21,0.882s,PASSED
"click(findTestObject(""Object Repository/Cura Pages/CuraPage_Login_OR/button_Login""))",Chrome 120.0.0.0,,,25-01-2024 23:14:21,25-01-2024 23:14:22,1.058s,PASSED
,,,,,,,
Test Cases/TC_CURA_MakeAppointmentvalidation_002,Chrome 120.0.0.0,,,25-01-2024 23:14:22,25-01-2024 23:14:36,14.171s,PASSED
"verifyOptionPresentByLabel(findTestObject(""Cura Pages/CuraPage_Login_OR/Page_CURA Healthcare Service/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", false, 0)",Chrome 120.0.0.0,"Validates  ""facility"" dropdown button and verify if ""Hongkong CURA health care center"" available in the option or not",,25-01-2024 23:14:22,25-01-2024 23:14:23,0.886s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 120.0.0.0,,,25-01-2024 23:14:23,25-01-2024 23:14:24,1.263s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 120.0.0.0,,,25-01-2024 23:14:24,25-01-2024 23:14:25,0.407s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 120.0.0.0,,,25-01-2024 23:14:25,25-01-2024 23:14:25,0.470s,PASSED
delay(2),Chrome 120.0.0.0,,,25-01-2024 23:14:25,25-01-2024 23:14:27,2.074s,PASSED
"unchecked = verifyElementNotChecked(findTestObject(""Page_CURA Healthcare Service/input_programs""), 0)",Chrome 120.0.0.0,"Verifies whether ""medicaid"" checkbox option is disabled before you click on the checkbox",,25-01-2024 23:14:27,25-01-2024 23:14:28,0.424s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 120.0.0.0,,,25-01-2024 23:14:28,25-01-2024 23:14:28,0.449s,PASSED
"if (unchecked == ""true"")",Chrome 120.0.0.0,Loop to check the medicaid radio button,,25-01-2024 23:14:28,25-01-2024 23:14:28,0.017s,PASSED
delay(3),Chrome 120.0.0.0,,,25-01-2024 23:14:28,25-01-2024 23:14:31,3.023s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/input_Medicaid_programs""), 0)",Chrome 120.0.0.0,verifies whether the test object is checked of or not,,25-01-2024 23:14:31,25-01-2024 23:14:32,0.442s,PASSED
