Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Cura_TestSuite_MakeAppointmentvalidation_002,Chrome 121.0.0.0,,,26-01-2024 16:00:53,26-01-2024 16:01:25,31.930s,PASSED
,,,,,,,
Test Cases/TC_CURA_Login_001,Chrome 121.0.0.0,,,26-01-2024 16:01:02,26-01-2024 16:01:07,5.275s,PASSED
"click(findTestObject(""Object Repository/Cura Pages/CuraPage_Login_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,26-01-2024 16:01:02,26-01-2024 16:01:04,1.869s,PASSED
"setText(findTestObject(""Object Repository/Cura Pages/CuraPage_Login_OR/input_username""), input_username)",Chrome 121.0.0.0,,,26-01-2024 16:01:04,26-01-2024 16:01:05,0.996s,PASSED
"setText(findTestObject(""Object Repository/Cura Pages/CuraPage_Login_OR/input_password""), input_password)",Chrome 121.0.0.0,,,26-01-2024 16:01:05,26-01-2024 16:01:06,0.874s,PASSED
"click(findTestObject(""Object Repository/Cura Pages/CuraPage_Login_OR/button_Login""))",Chrome 121.0.0.0,,,26-01-2024 16:01:06,26-01-2024 16:01:07,1.232s,PASSED
,,,,,,,
Test Cases/TC_CURA_MakeAppointmentvalidation_002,Chrome 121.0.0.0,,,26-01-2024 16:01:07,26-01-2024 16:01:20,13.499s,PASSED
"verifyOptionPresentByLabel(findTestObject(""Cura Pages/CuraPage_Login_OR/Page_CURA Healthcare Service/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", false, 0)",Chrome 121.0.0.0,"Validates  ""facility"" dropdown button and verify if ""Hongkong CURA health care center"" available in the option or not",,26-01-2024 16:01:07,26-01-2024 16:01:08,0.899s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 121.0.0.0,,,26-01-2024 16:01:08,26-01-2024 16:01:09,1.252s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 121.0.0.0,,,26-01-2024 16:01:09,26-01-2024 16:01:10,0.347s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/input_hospital_readmission""))",Chrome 121.0.0.0,,,26-01-2024 16:01:10,26-01-2024 16:01:10,0.393s,PASSED
delay(2),Chrome 121.0.0.0,,,26-01-2024 16:01:10,26-01-2024 16:01:12,2.047s,PASSED
"unchecked = verifyElementNotChecked(findTestObject(""Page_CURA Healthcare Service/input_programs""), 0)",Chrome 121.0.0.0,"Verifies whether ""medicaid"" checkbox option is disabled before you click on the checkbox",,26-01-2024 16:01:12,26-01-2024 16:01:12,0.371s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/input_Medicaid_programs""))",Chrome 121.0.0.0,,,26-01-2024 16:01:12,26-01-2024 16:01:13,0.397s,PASSED
"if (unchecked == ""true"")",Chrome 121.0.0.0,Loop to check the medicaid radio button,,26-01-2024 16:01:13,26-01-2024 16:01:13,0.007s,PASSED
delay(3),Chrome 121.0.0.0,,,26-01-2024 16:01:13,26-01-2024 16:01:16,3.016s,PASSED
"verifyElementChecked(findTestObject(""Page_CURA Healthcare Service/input_Medicaid_programs""), 0)",Chrome 121.0.0.0,verifies whether the test object is checked of or not,,26-01-2024 16:01:16,26-01-2024 16:01:16,0.369s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 121.0.0.0,,,26-01-2024 16:01:16,26-01-2024 16:01:17,0.440s,PASSED
